C-C,H-C,H-H,O-C,O-H,O-O
2034,252,0,0,0,2000
2034,252,0,0,0,2000
2034,252,0,0,0,2000
2035,252,0,0,1,2004
2036,252,0,0,0,2010
2039,253,0,2,1,2015
2035,250,0,7,2,2019
2040,245,1,12,6,2007
2040,243,1,11,9,2013
2036,243,1,16,7,2006
2038,239,1,17,12,2010
2039,238,1,16,14,2002
2034,236,1,19,14,2002
2041,235,1,22,17,1995
2035,232,1,27,18,2002
2033,229,1,34,23,1991
2022,226,1,45,27,1990
2015,222,1,57,29,1990
2010,219,1,62,32,1979
2006,218,1,73,35,1984
1997,213,1,68,38,1981
1992,208,1,88,44,1973
1995,204,0,88,47,1967
1996,200,0,91,53,1966
1987,195,0,99,58,1964
1994,193,0,103,60,1955
1980,191,0,111,62,1962
1981,189,0,120,66,1953
1972,188,0,118,66,1955
1973,186,0,127,67,1946
1962,185,0,128,67,1938
1967,181,0,141,74,1942
1954,177,0,151,76,1929
1953,174,0,166,81,1932
1940,170,0,174,86,1926
1937,165,0,182,89,1916
1932,162,0,186,93,1906
1922,157,0,210,99,1903
1917,154,0,221,99,1904
1914,152,0,224,102,1890
1911,150,0,242,104,1889
1895,148,0,250,109,1884
1894,145,0,266,110,1878
1887,144,0,275,108,1880
1881,139,0,277,115,1868
1869,134,0,292,121,1867
1867,132,0,298,124,1865
1860,129,0,299,123,1858
1856,125,0,308,128,1855
1854,124,0,324,129,1847
1840,123,0,323,133,1851
1832,123,0,335,131,1840
1834,121,0,339,132,1842
1830,121,0,346,134,1835
1814,120,0,357,137,1825
1809,117,0,371,136,1827
1799,116,0,374,138,1814
1794,115,0,386,139,1808
1785,113,0,399,143,1803
1778,111,0,414,143,1794
1757,108,0,418,149,1789
1743,105,0,424,149,1783
1733,103,0,446,153,1774
1722,101,0,463,151,1770
1706,101,0,474,152,1752
1684,97,0,487,156,1747
1671,95,0,504,158,1751
1656,92,0,522,165,1740
1629,90,0,550,164,1735
1618,87,0,559,165,1731
1607,85,0,578,169,1714
1576,81,0,608,176,1694
