,F1,H1,H10O4,H10O5,H10O6,H10O7,H11O5,H11O6,H11O7,H12O5,H12O6,H12O7,H13O6,H13O7,H13O8,H14O6,H14O7,H15O7,H15O8,H16O7,H16O8,H16O9,H17O11,H17O8,H18O9,H19O9,H1F1,H1N1,H1O1,H1O2,H2,H21O10,H2F1,H2N1,H2O1,H2O2,H3N1,H3O1,H3O1F1,H3O2,H3O3,H4N1,H4O1,H4O2,H4O3,H4O4,H5O1N1,H5O2,H5O3,H5O4,H6O1N1,H6O3,H6O4,H6O5,H7O2N1,H7O3,H7O4,H7O5,H7O6,H8O4,H8O5,H8O6,H9O4,H9O5,H9O6,N1,O1,X1,grp_>C128,grp_C1-3,grp_C16-31,grp_C32-63,grp_C4-7,grp_C64-127,grp_C8-15
30,1,128,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,38,0,0,0,918,3,0,2,0,9,0,0,0,25,5,0,0,0,1,0,0,1,0,0,0,6,4,0,0,4,0,0,26,0,0,0,40,2070,6,10,23,12,5,9,13
30,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,42,0,0,0,1016,7,0,22,0,4,0,0,0,22,0,0,0,23,2,1,0,3,0,0,0,4,0,0,0,1,0,0,2,0,0,0,43,2070,4,19,16,12,3,12,13
30,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,43,0,0,0,1040,5,0,26,0,6,0,0,0,18,1,0,0,23,2,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,43,2070,5,13,15,11,13,11,15
30,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,44,0,0,0,1031,5,0,17,0,6,0,0,0,6,1,0,0,26,2,1,0,2,0,0,0,11,0,0,0,0,0,0,3,0,0,0,48,2070,6,5,11,11,3,12,11
30,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,45,0,0,0,1016,6,0,12,0,6,1,0,0,10,0,0,0,30,2,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,49,2070,5,7,16,11,3,9,9
30,0,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,46,0,0,0,991,4,0,14,0,6,0,0,0,14,2,0,0,26,2,0,0,3,0,0,0,10,0,1,0,2,0,0,5,0,0,0,50,2070,6,7,14,10,0,9,11
30,0,80,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,47,0,0,0,976,6,0,9,0,6,0,0,0,11,0,0,0,21,1,0,0,1,0,0,0,16,1,0,0,0,0,0,11,0,0,0,54,2070,5,4,15,13,8,9,11
30,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,46,0,0,0,969,5,0,10,0,8,0,0,0,8,0,0,0,14,2,1,0,0,0,0,0,28,0,0,0,0,0,0,11,0,0,0,56,2070,4,12,11,15,7,8,17
30,0,76,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,45,0,0,0,935,5,0,12,0,9,0,0,0,12,0,0,0,15,2,0,0,1,0,0,0,17,0,0,0,2,0,0,17,0,1,0,55,2070,4,9,18,15,2,10,15
30,1,84,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,44,0,0,0,926,4,0,11,0,8,0,0,0,14,1,0,0,10,2,1,0,3,0,0,0,24,0,0,0,2,0,0,16,0,0,0,56,2070,6,9,15,16,3,9,13
30,0,71,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,47,0,0,0,937,5,0,9,0,8,0,0,0,8,0,0,0,13,2,1,0,1,0,0,0,28,0,0,0,1,0,0,16,0,0,0,57,2070,5,6,15,13,7,10,12
30,0,69,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,46,0,0,0,925,4,0,12,0,6,0,0,0,10,1,0,0,13,1,1,0,3,0,0,0,24,2,0,0,1,0,0,18,0,0,0,58,2070,6,11,17,14,2,10,13
30,0,87,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,45,0,0,0,899,5,0,12,0,12,0,0,0,12,1,0,0,14,5,0,0,5,0,0,0,20,0,0,0,3,0,0,16,0,0,0,58,2070,6,14,13,12,6,7,12
30,0,80,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,46,0,0,0,879,5,0,10,0,10,0,0,0,18,0,0,0,3,2,1,0,4,0,0,0,25,1,0,0,0,0,0,23,0,0,0,59,2070,4,17,13,12,6,10,8
30,0,88,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,47,0,0,0,882,5,0,8,0,12,0,0,0,13,1,0,0,7,2,0,0,4,0,0,0,27,0,0,1,2,0,0,24,0,0,0,62,2070,5,12,19,15,9,5,8
30,0,102,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,47,0,0,0,866,5,0,6,0,8,0,0,0,11,1,0,0,8,1,0,0,4,0,0,0,24,2,0,0,0,0,0,30,0,1,0,59,2070,5,12,14,14,7,7,8
30,0,87,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,46,0,0,0,862,4,0,6,0,7,0,0,0,11,1,0,0,7,2,0,0,2,0,0,0,25,1,1,0,6,0,0,27,0,0,0,61,2070,5,12,14,14,7,9,13
30,0,105,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,45,0,0,0,848,5,0,11,0,7,0,0,0,12,1,0,0,6,3,0,0,7,0,0,0,16,0,0,0,3,0,0,32,0,1,0,62,2070,6,16,16,14,9,6,14
