F1,F2,F3,F4,H1O1,H2O1,H2O2,H3O2,O1,grp_>C16,grp_C1-3,grp_C4-7,grp_C8-15
0,200,0,0,0,0,0,0,0,0,0,0,3000
0,200,0,0,0,0,0,0,0,0,0,0,3000
0,200,0,0,0,0,0,0,0,0,0,0,3000
0,200,0,0,0,0,0,0,0,0,0,0,3000
1,198,1,0,0,0,0,0,0,0,0,0,3000
2,197,1,0,0,0,0,0,0,30,0,0,2970
13,190,2,0,0,0,0,0,0,0,0,0,3000
26,178,4,0,0,0,0,0,0,0,0,0,3000
30,174,5,0,0,0,0,0,0,0,0,0,3000
31,175,4,0,0,0,0,0,0,0,0,0,3000
45,171,2,0,0,0,0,0,0,0,0,0,3000
53,163,3,1,1,1,0,0,0,0,0,0,3000
56,163,3,0,2,2,0,0,0,30,0,0,2970
69,151,6,0,2,2,0,0,0,0,0,0,3000
68,153,5,0,3,2,0,0,0,0,0,0,3000
81,146,5,0,3,2,0,0,0,0,0,0,3000
88,145,3,0,3,2,0,0,0,0,0,0,3000
94,143,2,0,2,3,0,0,0,0,0,0,3000
96,141,2,0,2,3,0,0,0,0,0,0,3000
112,133,2,0,2,3,0,0,0,0,1,0,2999
127,125,2,0,1,4,0,0,0,0,1,0,2999
127,126,1,0,3,4,0,0,0,0,1,0,2999
125,126,1,0,4,4,0,0,0,0,1,0,2999
125,123,3,0,3,5,0,0,0,0,1,4,2995
124,124,2,0,3,5,0,0,0,0,4,11,2985
128,123,1,0,3,5,0,0,0,30,4,11,2955
132,120,2,0,4,5,0,0,0,30,4,11,2955
132,119,2,0,5,5,0,0,0,0,4,11,2985
131,118,2,0,6,6,0,0,0,0,7,18,2975
134,117,2,0,6,6,0,0,0,0,14,21,2965
137,114,2,0,8,6,0,0,0,0,16,21,2963
132,115,2,0,8,6,0,0,0,0,18,19,2963
133,115,2,0,8,6,0,0,0,30,28,19,2923
135,114,2,0,7,7,0,0,0,0,28,19,2953
140,111,2,0,7,8,0,0,0,30,35,12,2923
141,108,3,0,7,8,0,0,0,30,35,12,2923
140,106,3,0,8,8,0,0,0,30,35,12,2923
140,106,3,0,8,7,0,0,0,0,39,22,2939
144,103,4,0,8,7,0,0,0,0,45,16,2939
151,102,4,0,7,7,0,0,0,76,48,17,2859
149,102,4,0,5,9,0,0,0,0,52,21,2927
155,101,4,0,6,9,0,0,0,0,59,26,2915
155,100,4,0,3,10,1,0,0,0,64,21,2915
156,102,2,0,3,10,1,0,0,16,65,21,2898
154,98,4,0,3,10,1,0,0,16,65,21,2898
158,98,4,0,3,10,1,0,0,16,69,26,2889
159,97,4,0,3,11,1,0,0,16,69,26,2889
164,95,4,0,3,10,1,0,0,46,72,26,2856
162,96,4,0,3,10,1,0,0,46,77,21,2856
166,93,4,0,3,10,1,0,0,16,77,21,2886
163,94,4,0,3,10,1,0,0,46,77,21,2856
166,93,4,0,2,12,1,0,0,46,77,21,2856
169,94,3,0,2,12,1,0,1,76,77,21,2826
171,92,3,0,2,10,1,0,1,76,77,21,2826
173,93,2,0,2,11,1,0,1,16,80,21,2883
178,91,2,0,2,11,1,0,1,62,79,21,2838
185,88,2,0,1,11,1,0,1,62,80,21,2837
180,90,2,0,1,10,1,0,1,62,80,21,2837
185,87,2,0,3,10,0,0,1,62,83,27,2828
181,88,2,0,3,11,0,0,1,106,90,21,2783
189,85,2,0,3,10,0,0,1,137,89,21,2753
182,86,2,0,3,10,0,0,1,137,92,28,2743
187,86,2,0,3,11,0,0,1,137,92,28,2743
183,86,1,0,3,11,0,0,0,137,92,28,2743
191,86,1,0,2,12,0,0,0,137,92,28,2743
186,84,2,0,2,11,0,0,0,167,92,32,2709
191,83,2,0,3,9,0,0,0,227,92,28,2653
188,83,2,0,3,11,0,0,0,167,92,28,2713
190,81,2,0,2,10,0,1,0,182,92,28,2698
190,80,2,0,2,10,0,0,0,152,92,28,2728
190,80,2,0,2,10,0,0,0,182,92,28,2698
191,79,2,0,2,10,0,0,0,122,92,28,2758
192,79,2,0,2,10,0,0,0,122,92,28,2758
194,79,2,0,2,10,0,0,0,122,92,28,2758
195,78,2,0,1,11,0,0,0,122,92,28,2758
192,77,2,0,1,11,0,0,0,152,92,28,2728
194,76,2,0,1,11,0,1,0,122,92,28,2758
195,75,2,0,1,11,0,0,1,137,92,28,2743
195,75,2,0,2,11,0,0,0,197,92,28,2683
191,74,2,0,2,10,0,0,0,167,92,28,2713
196,73,2,0,2,11,0,0,0,197,92,28,2683
194,73,2,0,2,10,0,0,0,197,95,28,2680
196,72,2,0,1,10,0,0,0,197,92,28,2683
196,72,2,0,2,10,0,0,0,197,92,28,2683
197,72,2,0,2,10,0,1,0,257,95,28,2620
197,72,2,0,2,9,0,0,0,258,94,28,2620
197,72,2,0,2,10,0,0,0,318,91,28,2563
199,71,2,0,2,11,0,0,0,213,95,28,2664
197,71,2,0,2,9,0,0,0,288,95,28,2589
196,71,2,0,2,9,0,0,0,318,92,28,2562
197,70,2,0,2,10,0,0,0,318,92,28,2562
202,68,2,0,2,10,0,0,0,258,92,28,2622
200,68,2,0,2,8,0,0,0,288,95,34,2583
201,68,2,0,2,9,0,0,0,303,92,28,2577
200,67,2,0,1,8,0,0,0,315,91,32,2562
202,66,2,0,1,9,0,1,0,289,91,28,2592
200,65,2,0,1,8,0,0,0,315,94,32,2559
203,64,2,0,3,9,0,0,0,319,94,28,2559
204,64,2,0,3,9,0,0,0,349,91,28,2532
204,64,2,0,2,8,0,0,0,304,91,28,2577
199,64,2,0,2,8,0,0,0,274,94,28,2604
