hash,formula,smiles,total_connections,precursors,derivatives
2023269227,HN3O3,[H]ON(=O)N=N=O,8,4,4
2363352848,H3N,[H]N([H])[H],8,2,6
798200288,NO2,O=N=O,7,6,1
3786389028,N3O4,ON(=O)NN(O)=O,5,0,5
248649749,HN3O4,[H]ON(O)=NN(O)=O,4,1,3
1482086808,N3O3,ON(=O)N=N=O,4,2,2
3041819201,N3O2,O=N=N=N=O,3,1,2
4289530154,H2N4O4,[H]N([H])=N(N(O)=O)N(O)=O,3,2,1
1532655608,HNO2,[H]ON=O,3,2,1
2618704720,HN2O,[H]ON#N,3,2,1
2755846643,H2O,[H]O[H],3,3,0
1332768717,H4N,[H]N([H])([H])[H],3,0,3
1547553508,H4NO,[H]ON([H])([H])[H],3,2,1
4122143436,HN3O5,[H]ON(N(O)=O)N(O)=O,2,1,1
1465457258,N2,N~N,2,2,0
3507321855,H2N3O,[H]N([H])ON#N,2,2,0
2467488158,H2N3O5,[H]ON(O)=N(O[H])N(O)=O,2,2,0
3755195254,N3O5,OON(O)=NN(O)=O,2,1,1
1363259389,N5O5,N#NON(N(O)=O)N(O)=O,2,1,1
1931263022,HN4O2,[H]NON=N=N=O,1,1,0
1951580499,H6N2O,[H]N([H])([H])ON([H])([H])[H],1,1,0
92031212,H2NO3,[H]ONOO[H],1,1,0
3414719570,N2O3,ON(=O)N=O,1,1,0
3353844120,HNO3,[H]OON=O,1,1,0
2271498262,H2N6O8,[H]ON(=NN(=O)ON(N(O)=O)N(O)=O)O[H],1,1,0
2694028532,HN5O5,[H]ON(O)=N(ON#N)N(O)=O,1,1,0
196829963,H2N3O2,[H]N([H])=NN(O)=O,1,0,1
3007715675,H4N2O4,[H]ON(=O)OON([H])([H])[H],1,1,0
1038396513,H2N3O4,[H]ON(=NN(O)=O)O[H],1,0,1
3060190049,N8O9,N#NON(N(O)=O)=N(O)ON(N(O)=O)=N(O)O,1,0,1
1639136083,HN3O6,[H]OON(N(O)=O)N(O)=O,1,0,1
774006495,O,O,1,0,1
508424263,H2NO2,[H]ONO[H],1,0,1
909406738,HNO,[H]N=O,1,0,1
2792070735,HO,[H]O,1,0,1
2977436058,H3NO,[H]ON([H])[H],1,1,0
3021413527,HN4O4,[H]N=N(N(O)=O)N(O)=O,1,1,0
1179232853,H4N4O4,[H]ON(=NN(O)=O)ON([H])([H])[H],1,1,0
1169087527,H2N,[H]N[H],1,0,1
3764204667,H,[H],1,0,1
1999073196,HN4O5,[H]ON(=O)ON#NN(O)=O,1,0,1
2477436747,NO,N=O,1,0,1
2764941947,HN6O8,[H]ON1=N(N(O)=O)ON(=O)N(=N(O)O)O1,1,0,1
295395741,H2N2O4,[H]N([H])OON(O)=O,1,0,1
3227781649,N9O11,ON(=O)N#NON1(N(O)=O)ON(=O)N(N(O)=O)ON1=O,1,1,0
902582191,HN2O3,[H]ON(=O)N=O,1,0,1
