rank,frequency,first_frame,last_frame,n_reactants,n_products,reactants,products
1,31,3,39,2,1,"N3O3+H3N","H3N4O3"
2,30,4,38,1,2,"H3N4O3","N3O3+H3N"
3,23,9,39,2,2,"H2N+HNO2","H3N+NO2"
4,22,3,38,2,2,"HNO2+H2N","NO2+H3N"
5,22,10,40,1,2,"H3N4O3","H3N+N3O3"
6,21,3,40,2,2,"H3N+NO2","H2N+HNO2"
7,20,4,40,2,1,"H3N+N2O","H3N3O"
8,18,12,40,2,1,"H3N+N3O3","H3N4O3"
9,16,11,37,2,2,"NO2+H3N","HNO2+H2N"
10,15,7,37,1,2,"H3N3O","H3N+N2O"
11,14,9,40,1,2,"H3N3O","N2O+H3N"
12,13,16,38,2,2,"H3N+N2O","H2N+HN2O"
13,13,7,35,2,2,"H4NO+H3N","H3N+H4NO"
14,12,15,39,2,1,"N2O+H3N","H3N3O"
15,11,3,37,2,2,"HN3O3+H3N","N3O2+H4NO"
16,11,5,37,2,2,"H3N+H4NO","H4NO+H3N"
17,10,4,40,2,1,"N2+HO","HN2O"
18,10,9,39,2,2,"H2N+HN2O","H3N+N2O"
19,9,2,38,1,2,"HN3O3","HNO2+N2O"
20,9,10,39,1,2,"HN2O","N2+HO"
21,8,9,36,2,2,"H4NO+N3O2","HN3O3+H3N"
22,7,4,28,1,2,"N3O3","NO2+N2O"
23,6,6,33,2,1,"HO+N2","HN2O"
24,6,3,40,1,2,"HN3O3","N2O+HNO2"
25,6,2,5,2,2,"H4N+N3O4","H3N+HN3O4"
26,6,14,38,2,2,"H4NO+N2","H3N+HN2O"
27,6,3,40,2,1,"H3N+HO","H4NO"
28,6,10,36,2,1,"N2O+NO","N3O2"
29,6,3,22,1,2,"N3O2","N2+NO2"
30,6,13,35,1,2,"N3O2","N2O+NO"
31,6,10,36,1,2,"N3O2","NO2+N2"
32,6,5,24,2,2,"NO2+H4NO","HNO2+H3NO"
33,5,3,28,2,2,"H3N+HN2O","H4NO+N2"
34,5,5,40,1,2,"HN2O","HO+N2"
35,5,10,39,2,1,"H3NO+N2O","H3N3O2"
36,5,2,24,2,1,"N3O4+N3O4","N6O8"
37,5,16,36,2,2,"H3N4O2+HO","H2N4O2+H2O"
38,5,8,24,2,1,"N3O4+N2O","N5O5"
39,5,27,37,2,2,"H2N4O4+NO2","HN4O4+HNO2"
