Frame,H,H2N,H2N2O,H2N2O2,H2N2O4,H2N3O,H2N3O2,H2N3O3,H2N3O4,H2N3O5,H2N4O2,H2N4O3,H2N4O4,H2N4O5,H2N4O6,H2N4O7,H2N5O4,H2N5O5,H2N5O7,H2N5O8,H2N5O9,H2N6O5,H2N6O8,H2N8O11,H2NO,H2NO2,H2NO3,H2O,H2O2,H3N,H3N13O15,H3N2O,H3N2O2,H3N2O4,H3N3,H3N3O,H3N3O2,H3N3O4,H3N4O2,H3N4O3,H3N4O4,H3N4O5,H3N4O6,H3N6O4,H3N7O7,H3N7O8,H3N8O11,H3NO,H3NO2,H4N,H4N13O15,H4N2O,H4N2O4,H4N3O2,H4N4O3,H4N4O4,H4N4O7,H4N7O8,H4NO,H4NO2,H5N13O15,H5N2O,H6N2O,H6N5O7,H7N14O15,HN,HN12O15,HN2O,HN2O3,HN2O4,HN3O,HN3O2,HN3O3,HN3O4,HN3O5,HN3O6,HN4O2,HN4O3,HN4O4,HN4O5,HN4O7,HN5O3,HN5O5,HN5O8,HN6O7,HN6O8,HN8O11,HN9O11,HNO,HNO2,HNO3,HNO4,HO,HO2,N,N12O15,N2,N2O,N2O3,N2O4,N3,N3O,N3O2,N3O3,N3O4,N3O5,N3O6,N4O,N4O6,N5O2,N5O3,N5O4,N5O5,N5O8,N6O2,N6O7,N6O8,N6O9,N7O5,N8O8,N8O9,N9O11,NO,NO2,O,O2
1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,92,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,10,150,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,1,0,0,0,1,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,0,161,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,26,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,8,19,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,4,1,0,0,9,10,0,0,0,1,3,38,85,1,0,0,1,0,0,0,4,0,0,1,2,0,0,0,0,0,1,12,0,0
3,1,4,0,1,0,1,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,148,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9,0,24,0,0,0,0,0,2,0,0,17,0,0,0,1,0,0,0,0,3,0,0,0,1,9,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,1,0,0,0,14,12,1,0,0,0,2,38,79,1,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,2,20,0,1
4,2,9,0,1,0,0,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,151,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,16,0,0,0,0,0,2,0,0,15,1,0,0,1,0,0,0,0,5,0,0,0,1,8,12,14,1,0,0,0,0,0,0,0,0,0,0,0,0,3,12,1,0,0,0,0,0,15,13,1,0,0,1,7,32,74,2,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,1,28,0,0
5,0,3,0,1,0,1,0,0,3,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,0,150,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,1,14,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,2,8,8,13,1,0,0,0,0,0,0,1,0,1,0,0,0,3,15,1,0,3,0,0,0,18,11,2,0,0,1,6,31,71,1,0,0,1,0,0,0,5,0,0,0,1,0,0,0,1,0,1,29,0,0
6,1,5,0,1,0,1,0,1,4,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,151,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,9,1,9,0,0,0,0,0,1,0,0,18,1,0,0,1,0,0,1,0,7,0,0,0,1,7,9,15,1,0,0,0,0,0,0,1,0,1,0,0,0,4,14,1,0,1,0,0,0,20,12,2,0,0,2,4,24,66,1,0,0,1,0,0,1,5,0,0,2,1,0,0,0,0,0,0,37,0,0
7,3,6,0,0,0,1,0,0,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,68,0,150,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,10,1,7,0,0,0,1,0,3,0,0,15,1,0,1,0,0,0,0,0,8,0,0,0,1,12,6,16,1,0,0,0,1,0,0,1,0,1,1,0,0,4,13,1,0,1,0,0,0,20,15,3,0,0,0,3,19,62,1,0,0,0,0,0,1,6,1,0,1,1,0,0,0,0,0,3,39,0,0
8,3,10,0,2,0,0,0,0,2,2,1,4,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,69,0,143,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,14,1,5,0,0,0,1,0,1,0,0,18,1,0,1,0,0,0,0,0,9,0,0,0,1,12,5,15,0,0,0,0,0,0,0,2,0,0,1,0,0,4,19,1,0,0,0,0,0,22,12,4,0,0,0,6,19,56,1,1,0,0,0,0,0,9,1,0,1,1,0,0,0,0,0,3,41,0,0
9,3,5,0,1,0,1,0,0,2,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,68,0,148,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,14,0,5,0,0,0,0,1,1,0,0,18,1,0,0,1,0,0,1,0,10,0,0,1,1,10,3,17,0,0,0,0,0,0,0,2,0,0,2,0,0,3,20,2,1,1,0,0,0,22,14,4,0,0,0,3,21,51,1,1,0,1,0,0,1,12,1,0,1,1,0,0,0,0,0,2,39,0,0
10,2,6,0,2,0,1,0,0,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,2,1,70,0,149,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,12,0,4,0,0,0,0,0,2,0,0,20,1,0,0,0,0,0,0,0,5,0,0,1,1,9,3,16,0,0,0,1,0,0,0,3,0,0,1,0,0,3,18,2,1,1,0,0,0,27,16,4,0,0,0,3,21,49,1,0,0,1,0,0,0,11,1,0,0,1,0,0,0,0,2,1,41,0,0
