mol_id,formula,first_frame,last_frame,lifetime_frames,n_predecessors,n_successors
0,H3N,1,40,39,0,0
1,HN3O4,1,2,1,0,4
2,HN3O4,1,2,1,0,5
3,HN3O4,1,2,1,0,6
4,N3O4,1,12,11,0,1
5,H4N,1,2,1,0,6
6,N3O4,1,27,26,0,2
7,HN3O3,1,2,1,0,7
8,H3N,1,14,13,0,1
9,H4N,1,2,1,0,2
10,H3N,1,13,12,0,2
11,N3O4,1,18,17,0,1
12,HN3O4,1,5,4,0,2
13,H3N,1,12,11,0,6
14,N3O5,1,2,1,0,3
15,H2N3O4,1,2,1,0,6
16,H3N,1,8,7,0,2
17,H2O,1,40,39,0,0
18,H3N,1,2,1,0,7
19,N3O4,1,2,1,0,5
20,H4N,1,10,9,0,2
21,HN3O4,1,2,1,0,3
22,N3O4,1,2,1,0,2
23,N3O4,1,2,1,0,4
24,H4N,1,2,1,0,6
25,HN3O4,1,2,1,0,7
26,HN3O4,1,2,1,0,1
27,N3O4,1,2,1,0,6
28,N3O4,1,9,8,0,1
29,H3N,1,18,17,0,2
30,H2O,1,2,1,0,7
31,N3O3,1,5,4,0,1
32,N3O4,1,21,20,0,2
33,H4N,1,2,1,0,5
34,N3O4,1,12,11,0,2
35,H4N,1,2,1,0,6
36,N3O4,1,11,10,0,1
37,H4N,1,2,1,0,4
38,N3O4,1,29,28,0,2
39,H3N,1,5,4,0,3
40,N3O4,1,20,19,0,1
41,HN3O4,1,2,1,0,4
42,H3N,1,30,29,0,3
43,H3N,1,40,39,0,0
44,H3N,1,40,39,0,0
45,H4N,1,3,2,0,4
46,H3N,1,2,1,0,1
47,N3O4,1,3,2,0,2
48,HN3O4,1,2,1,0,1
49,H4N,1,2,1,0,3
50,HN3O4,1,2,1,0,4
51,N3O4,1,2,1,0,6
52,H4N,1,2,1,0,4
53,H4N,1,2,1,0,5
54,H4N,1,3,2,0,2
55,H3N,1,40,39,0,0
56,N3O4,1,3,2,0,2
57,H3N,1,2,1,0,5
58,H3N,1,2,1,0,1
59,HN3O4,1,2,1,0,2
60,H4N,1,2,1,0,4
61,N3O4,1,2,1,0,4
62,HN3O4,1,2,1,0,3
63,H4N,1,2,1,0,4
64,H3N,1,40,39,0,0
65,N3O4,1,40,39,0,0
66,H3N,1,12,11,0,1
67,H4N,1,2,1,0,4
68,H4N,1,2,1,0,3
69,H4N,1,2,1,0,7
70,H4N,1,2,1,0,2
71,HO,1,2,1,0,2
72,H4N,1,2,1,0,6
73,H2N3O4,1,2,1,0,3
74,H3N,1,8,7,0,3
75,H3N,1,4,3,0,2
76,H3N,1,21,20,0,1
77,H3N,1,5,4,0,2
78,N3O4,1,6,5,0,2
79,H4N,1,3,2,0,2
80,H3N,1,7,6,0,2
81,HN3O4,1,2,1,0,6
82,H4N,1,2,1,0,5
83,H2N3O4,1,2,1,0,3
84,H4N,1,2,1,0,2
85,N3O4,1,2,1,0,5
86,HO,1,2,1,0,2
87,N3O4,1,2,1,0,4
88,H3N,1,8,7,0,2
89,HN3O4,1,2,1,0,12
90,H4N,1,2,1,0,5
91,N3O4,1,2,1,0,2
92,H3N,1,2,1,0,12
93,H4N,1,2,1,0,6
94,N3O4,1,2,1,0,4
95,H4N,1,2,1,0,5
96,H4N,1,2,1,0,6
97,N3O4,1,2,1,0,1
98,N3O4,1,2,1,0,11
99,H4N,1,2,1,0,6
100,H4N,1,2,1,0,6
101,N3O4,1,6,5,0,1
102,N3O4,1,7,6,0,3
103,HN3O4,1,2,1,0,2
104,N3O4,1,2,1,0,1
105,H4N,1,2,1,0,4
106,HN3O4,1,3,2,0,3
107,H3N,1,40,39,0,0
108,N3O4,1,2,1,0,5
109,N3O4,1,5,4,0,3
110,N3O4,1,12,11,0,1
111,N3O4,1,6,5,0,1
112,H3N,1,9,8,0,1
113,N3O4,1,3,2,0,2
114,H4N,1,2,1,0,4
115,H2O,1,40,39,0,0
116,H3N,1,22,21,0,2
117,H3N,1,4,3,0,3
118,H4N,1,8,7,0,2
119,H3N,1,3,2,0,1
120,N3O4,1,14,13,0,2
121,N3O4,1,2,1,0,5
122,N3O4,1,19,18,0,1
123,H4N,1,2,1,0,5
124,N3O4,1,20,19,0,1
125,N3O4,1,13,12,0,2
126,HO,1,2,1,0,6
127,N3O4,1,8,7,0,1
128,H4N,1,2,1,0,6
129,N3O4,1,2,1,0,5
130,H4N,1,2,1,0,6
131,H4N,1,2,1,0,3
132,H2N3O4,1,2,1,0,6
133,N3O3,1,13,12,0,1
134,N3O4,1,2,1,0,6
135,H4N,1,2,1,0,4
136,N3O4,1,4,3,0,5
137,N3O4,1,2,1,0,4
138,H4N,1,4,3,0,2
139,H2N3O4,1,2,1,0,4
140,H3N,1,40,39,0,0
141,H4N,1,2,1,0,3
142,H4N,1,2,1,0,5
143,N3O4,1,24,23,0,1
144,H4N,1,2,1,0,2
145,H4N,1,2,1,0,4
146,N3O4,1,2,1,0,4
147,H4N,1,2,1,0,6
148,N3O4,1,2,1,0,1
149,H3N,1,5,4,0,1
150,N3O4,1,40,39,0,0
151,N3O4,1,2,1,0,2
152,N3O4,1,2,1,0,4
153,H4N,1,2,1,0,4
154,N3O4,1,2,1,0,2
155,N3O4,1,5,4,0,3
156,H3N,1,5,4,0,2
157,H4N,1,2,1,0,4
158,N3O4,1,8,7,0,2
159,N3O5,1,2,1,0,3
160,N3O4,1,2,1,0,4
161,N3O4,1,2,1,0,1
162,H3N,1,40,39,0,0
163,H2N3O4,1,2,1,0,3
164,N3O4,1,17,16,0,1
165,H4N,1,8,7,0,2
166,N3O4,1,40,39,0,0
167,N3O4,1,2,1,0,3
168,H3N,1,40,39,0,3
169,H4N,1,2,1,0,3
170,H4N,1,2,1,0,4
171,N3O4,1,6,5,0,9
172,H3N,1,4,3,0,2
173,H4N,1,17,16,0,2
174,N3O4,1,2,1,0,2
175,H3N,1,2,1,0,3
176,H4N,1,2,1,0,1
177,N3O3,1,2,1,0,3
178,H4N,1,2,1,0,3
179,H4N,1,2,1,0,3
180,N3O4,1,6,5,0,2
181,H4N,1,2,1,0,4
182,H4N,1,2,1,0,4
183,N3O3,1,2,1,0,2
184,H4N,1,2,1,0,3
185,H4N,1,2,1,0,4
186,N3O4,1,38,37,0,1
187,N3O4,1,33,32,0,5
188,H4N,1,5,4,0,2
189,HNO3,1,3,2,0,3
190,H4N,1,2,1,0,4
191,H4N,1,2,1,0,12
192,N3O4,1,8,7,0,1
193,N3O4,1,2,1,0,3
194,H3N,1,17,16,0,1
195,HN3O4,1,2,1,0,4
196,H4N,1,2,1,0,3
197,H2N3O4,1,2,1,0,3
198,H3N,1,3,2,0,1
199,H4N,1,2,1,0,11
200,N3O4,1,2,1,0,11
201,N3O4,1,2,1,0,12
202,H3N,1,2,1,0,11
203,H2N3O4,1,2,1,0,11
204,H3N,1,14,13,0,2
205,N3O4,1,2,1,0,3
206,N3O4,1,2,1,0,4
207,N3O4,1,3,2,0,2
208,HN3O3,1,2,1,0,2
209,H4N,1,2,1,0,12
210,H4N,1,2,1,0,12
211,N3O3,1,6,5,0,3
212,H3N,1,40,39,0,0
213,HN3O4,1,2,1,0,11
214,H3N,1,3,2,0,2
215,N3O4,1,15,14,0,1
216,H2O,1,40,39,0,0
217,N3O4,1,15,14,0,3
218,N3O4,1,8,7,0,2
219,H4N,1,2,1,0,12
220,H2N3O4,1,2,1,0,12
221,N3O4,1,2,1,0,11
222,N3O4,1,20,19,0,2
223,N3O4,1,2,1,0,3
224,H3N,1,13,12,0,2
225,H4N,1,2,1,0,3
226,H4N,1,2,1,0,3
227,H4N,1,2,1,0,2
228,N2,1,18,17,0,2
229,N3O4,1,5,4,0,1
230,H3N,1,4,3,0,4
231,H4N,1,6,5,0,9
232,H3N,1,40,39,0,0
233,H4N,1,2,1,0,3
234,H4N,1,2,1,0,3
235,N3O4,1,2,1,0,1
236,H4N,1,2,1,0,4
237,H3N,1,40,39,0,0
238,N3O4,1,9,8,0,2
239,H3N,1,4,3,0,3
240,H3N,1,6,5,0,2
241,H3N,1,2,1,0,8
242,H2N3O4,1,2,1,0,8
243,N3O4,1,4,3,0,2
244,H4N,1,4,3,0,2
245,H4N,1,2,1,0,4
246,N3O4,1,7,6,0,2
247,H4N,1,2,1,0,2
248,N3O4,1,40,39,0,0
249,HN3O4,1,2,1,0,3
250,H4N,1,2,1,0,4
251,H4N,1,4,3,0,2
252,H4N,1,4,3,0,5
253,N3O4,1,2,1,0,3
254,HN3O4,1,2,1,0,4
255,H4N,1,2,1,0,4
256,H2O,1,40,39,0,0
257,H4N,1,2,1,0,3
258,N3O4,1,2,1,0,8
259,N3O4,1,10,9,0,4
260,HN3O4,1,2,1,0,4
