Frame,C-0,C-1,C-2,C-3,C-4,Fe-0,Fe-1,Fe-2,Fe-3,Fe-4,Fe-5,Fe-6,H-0,H-1,O-0,O-1,O-2
1,0,11,237,2618,734,154,141,178,350,87,112,130,5,4027,0,669,1875
2,0,14,279,2633,674,161,155,176,346,69,117,128,4,4028,0,679,1865
3,0,13,300,2653,634,170,147,186,338,73,109,129,6,4026,0,690,1854
4,0,15,302,2665,618,174,151,182,337,76,106,126,4,4028,0,702,1842
5,0,13,299,2688,600,180,149,183,329,71,115,125,7,4025,0,701,1843
6,0,12,304,2704,580,177,152,190,326,70,114,123,6,4026,0,706,1838
7,0,17,311,2706,566,181,151,193,326,68,112,121,6,4026,0,710,1834
8,0,19,303,2721,557,178,162,192,316,71,118,115,8,4024,0,720,1824
9,0,19,316,2717,548,187,157,193,312,70,111,122,5,4027,0,727,1817
10,0,19,309,2743,529,194,153,186,316,72,111,120,5,4027,0,727,1817
11,0,19,306,2744,531,198,148,184,323,66,112,121,6,4026,0,724,1820
12,0,19,304,2750,527,198,145,195,314,67,110,123,6,4026,0,726,1818
13,0,19,305,2755,521,200,142,195,314,71,113,117,7,4025,0,726,1818
14,0,19,305,2757,519,200,139,204,307,75,111,116,9,4023,0,734,1810
15,0,19,304,2771,506,196,145,205,307,67,115,117,8,4024,0,729,1815
16,0,19,299,2778,504,196,145,204,313,63,114,117,5,4027,0,728,1816
17,0,18,298,2784,500,199,149,206,305,63,110,120,9,4023,0,733,1811
18,0,17,296,2797,490,200,153,198,308,60,113,120,8,4024,0,734,1810
19,0,18,300,2787,495,200,152,202,304,62,118,114,8,4024,0,741,1803
20,0,18,301,2784,497,201,154,204,303,59,114,117,7,4025,0,744,1800
21,0,19,305,2788,488,211,137,213,293,70,117,111,8,4024,0,748,1796
22,0,20,307,2789,484,208,145,206,300,59,119,115,7,4025,0,738,1806
23,0,20,307,2796,477,206,149,206,298,62,118,113,6,4026,0,741,1803
24,0,20,307,2792,481,206,147,205,299,61,123,111,4,4028,0,733,1811
25,0,19,303,2805,473,213,142,199,311,59,118,110,6,4026,0,749,1795
26,0,19,304,2799,478,209,141,213,297,59,128,105,6,4026,0,750,1794
27,0,19,306,2791,484,205,145,209,304,59,126,104,9,4023,0,754,1790
28,0,19,310,2796,475,207,149,203,304,62,118,109,10,4022,0,750,1794
29,0,19,314,2793,474,215,141,210,298,58,121,109,10,4022,0,748,1796
30,0,20,310,2796,474,206,145,212,306,54,125,104,10,4022,0,748,1796
31,0,20,309,2792,479,212,146,199,309,59,121,106,8,4024,0,748,1796
32,0,20,307,2799,474,213,153,196,302,59,121,108,7,4025,0,750,1794
33,0,20,304,2801,475,209,150,200,306,58,125,104,7,4025,0,739,1805
34,0,20,308,2802,470,207,153,206,302,59,119,106,7,4025,0,745,1799
35,0,20,310,2805,465,216,148,194,304,62,125,103,9,4023,0,741,1803
36,0,20,306,2819,455,211,154,197,301,60,126,103,7,4025,0,743,1801
37,0,20,312,2815,453,204,157,204,302,63,121,101,7,4025,0,736,1808
38,0,20,313,2812,455,209,162,193,300,64,119,105,7,4025,0,746,1798
39,0,20,309,2825,446,208,154,204,304,57,125,100,8,4024,0,750,1794
40,0,20,314,2816,450,208,156,201,302,60,126,99,7,4025,0,745,1799
41,0,20,312,2820,448,212,151,194,309,63,124,99,7,4025,0,743,1801
42,0,20,314,2818,448,216,143,203,307,58,128,97,7,4025,0,745,1799
43,0,20,314,2825,441,216,143,204,305,57,128,99,6,4026,0,735,1809
44,0,20,310,2838,432,211,159,191,310,60,114,107,6,4026,0,739,1805
45,0,20,310,2837,433,212,153,198,304,62,128,95,7,4025,0,743,1801
46,0,20,309,2834,437,214,158,187,309,55,130,99,6,4026,0,743,1801
47,0,20,311,2826,443,221,147,190,311,59,121,103,5,4027,0,742,1802
48,0,21,309,2831,439,225,139,197,302,70,122,97,6,4026,0,749,1795
49,0,21,308,2833,438,218,145,201,303,60,126,99,7,4025,0,741,1803
50,0,21,304,2840,435,219,151,191,307,58,128,98,5,4027,0,744,1800
51,0,21,313,2829,437,217,153,192,304,62,127,97,7,4025,0,739,1805
52,0,21,310,2826,443,218,151,198,301,56,128,100,7,4025,0,740,1804
53,0,21,310,2823,446,221,148,195,301,65,125,97,4,4028,0,744,1800
54,0,21,310,2823,446,220,152,189,303,68,125,95,8,4024,0,750,1794
55,0,21,311,2825,443,222,147,196,300,63,132,92,7,4025,0,750,1794
56,0,21,304,2831,444,219,151,195,302,62,131,92,6,4026,0,750,1794
57,0,22,309,2823,446,221,149,192,304,67,126,93,6,4026,0,750,1794
58,0,21,310,2825,444,225,147,179,320,58,127,96,4,4028,0,742,1802
59,0,21,312,2817,450,221,141,202,306,63,121,98,4,4028,0,744,1800
60,0,21,309,2822,448,224,143,202,302,57,123,101,3,4029,0,748,1796
61,0,22,312,2815,451,224,144,194,306,65,126,93,4,4028,0,751,1793
62,0,22,309,2825,444,223,141,208,297,58,130,95,1,4031,0,744,1800
63,0,22,311,2832,435,222,144,202,302,57,133,92,2,4030,0,741,1803
