ReaxTools: High performance reactive MD post-processer
Atom Types: 1: C, 2: H, 3: O, 4: Fe, 
Bond radius: C-C 2.040, C-H 1.650, C-O 2.040, C-Fe 2.220, H-C 1.650, H-H 1.260, H-O 1.650, H-Fe 1.830, O-C 2.040, O-H 1.650, O-O 2.040, O-Fe 2.220, Fe-C 2.220, Fe-H 1.830, Fe-O 2.220, Fe-Fe 2.400, 
Frame    Atoms    Bonds    Mols     R5     R6     R7     R8    
1        11328    11478    738       10     449    2      114   
2        11328    11389    785       8      451    2      107   
3        11328    11338    817       11     443    2      101   
4        11328    11308    835       13     440    2      99    
5        11328    11299    840       13     441    2      102   
6        11328    11279    851       15     438    3      101   
7        11328    11249    863       13     433    3      99    
8        11328    11233    878       13     435    4      100   
9        11328    11214    887       13     434    4      101   
10       11328    11203    903       14     433    3      99    
11       11328    11206    895       15     435    3      94    
12       11328    11203    899       15     435    3      96    
13       11328    11195    901       17     429    3      96    
14       11328    11186    911       18     429    3      91    
15       11328    11184    909       19     427    4      90    
16       11328    11185    906       19     427    3      90    
17       11328    11171    924       22     429    3      89    
18       11328    11168    924       22     430    3      92    
19       11328    11160    928       23     427    4      91    
20       11328    11154    932       23     432    4      91    
21       11328    11141    945       22     429    4      92    
22       11328    11145    937       23     425    4      89    
23       11328    11137    940       23     425    4      87    
24       11328    11148    926       23     424    3      92    
25       11328    11128    943       23     426    3      86    
26       11328    11132    942       25     427    4      89    
27       11328    11131    936       25     425    4      79    
28       11328    11123    945       25     427    3      81    
29       11328    11115    951       27     423    3      85    
30       11328    11119    944       27     427    1      80    
31       11328    11121    944       28     426    2      82    
32       11328    11115    952       29     429    2      86    
33       11328    11127    938       30     426    2      79    
34       11328    11114    946       32     426    2      80    
35       11328    11112    954       32     430    2      83    
36       11328    11109    952       31     427    1      82    
37       11328    11106    947       31     426    1      79    
38       11328    11099    959       29     426    1      82    
39       11328    11093    955       29     426    1      73    
40       11328    11096    951       29     427    1      73    
41       11328    11099    956       30     428    1      81    
42       11328    11093    951       31     421    1      77    
43       11328    11097    947       32     420    1      75    
44       11328    11090    950       32     427    1      72    
45       11328    11086    952       31     421    1      73    
46       11328    11091    950       32     420    1      79    
47       11328    11092    953       32     421    1      76    
48       11328    11082    963       32     418    1      82    
49       11328    11090    952       31     423    1      79    
50       11328    11087    959       31     426    1      80    
51       11328    11085    960       31     424    1      78    
52       11328    11089    953       33     423    1      74    
53       11328    11087    957       34     423    1      81    
54       11328    11081    966       34     424    2      83    
55       11328    11078    961       35     417    4      76    
56       11328    11082    959       38     422    3      77    
57       11328    11079    957       37     419    3      73    
58       11328    11087    959       37     414    3      71    
59       11328    11088    952       36     422    3      71    
60       11328    11084    957       36     422    4      75    
61       11328    11079    963       37     421    4      71    
62       11328    11083    961       38     419    3      76    
63       11328    11078    957       37     414    5      72    
64       11328    11067    971       36     413    5      74    
65       11328    11065    971       35     419    5      76    
66       11328    11058    974       35     413    3      77    
67       11328    11060    970       35     416    3      74    
68       11328    11066    971       36     416    3      78    
69       11328    11063    971       36     416    3      75    
70       11328    11066    963       36     407    3      76    
71       11328    11063    961       36     419    3      74    
72       11328    11060    963       36     414    3      71    
73       11328    11058    966       36     415    3      66    
74       11328    11050    974       34     414    3      67    
75       11328    11050    978       35     413    3      67    
76       11328    11047    974       36     413    3      70    
77       11328    11043    975       34     414    2      71    
78       11328    11042    978       37     410    2      69    
79       11328    11041    975       37     409    2      70    
80       11328    11034    981       35     410    2      62    
81       11328    11040    982       38     412    3      72    
82       11328    11037    989       38     412    3      65    
83       11328    11037    981       37     407    3      69    
84       11328    11031    983       37     404    3      64    
85       11328    11039    979       38     414    3      65    
86       11328    11041    979       41     408    3      65    
87       11328    11046    973       42     411    3      69    
88       11328    11038    985       42     410    3      70    
89       11328    11040    982       42     407    3      69    
90       11328    11035    989       42     407    3      66    
91       11328    11033    994       42     407    3      70    
92       11328    11028    993       42     410    3      71    
93       11328    11029    994       42     409    3      70    
94       11328    11023    1001      42     410    3      69    
95       11328    11028    985       42     408    3      70    
96       11328    11030    986       43     411    3      71    
97       11328    11026    993       43     407    3      69    
98       11328    11028    995       44     413    3      69    
99       11328    11024    992       39     405    3      59    
100      11328    11021    993       40     404    3      62    
101      11328    11017    1001      40     408    3      66    
102      11328    11013    995       40     409    3      65    
103      11328    11012    996       41     405    3      66    
104      11328    11018    999       41     412    3      70    
105      11328    11015    1005      43     413    3      68    
106      11328    11015    1005      43     411    4      66    
107      11328    11016    1000      44     407    3      59    
108      11328    11016    1000      43     407    3      66    
109      11328    11010    1005      41     411    3      62    
110      11328    11010    998       42     406    3      62    
111      11328    11012    1002      43     408    3      55    
112      11328    11012    1004      42     410    3      56    
113      11328    11012    1004      43     412    3      58    
114      11328    11013    1011      45     407    3      70    
115      11328    11014    1006      45     411    3      63    
116      11328    11009    1008      45     408    3      58    
117      11328    11013    997       45     404    3      57    
118      11328    11013    1000      44     415    3      64    
119      11328    11015    1003      44     418    3      64    
120      11328    11013    1003      44     412    3      66    
121      11328    11007    1009      43     409    3      65    
122      11328    11007    998       41     409    3      56    
123      11328    10999    1011      40     414    3      66    
124      11328    11003    1000      40     412    3      61    
125      11328    11004    1006      42     409    3      58    
126      11328    11002    1006      43     403    3      57    
127      11328    11009    1003      44     414    3      60    
128      11328    11015    996       45     414    3      65    
129      11328    11011    1000      44     415    4      64    
130      11328    11004    1010      42     415    4      65    
131      11328    11003    1006      42     420    4      62    
132      11328    11001    1014      42     410    4      68    
133      11328    10999    1002      40     409    4      61    
134      11328    10994    1014      39     415    4      66    
135      11328    10997    1011      40     413    5      61    
136      11328    11000    1004      42     412    4      56    
137      11328    10999    1008      44     413    4      58    
138      11328    11005    1019      45     416    5      66    
139      11328    11001    1010      41     412    4      65    
140      11328    10999    1001      40     404    4      61    
141      11328    10996    1013      42     406    4      66    
142      11328    10996    1004      42     413    4      62    
143      11328    10992    1009      42     410    4      63    
144      11328    10990    1011      41     414    4      63    
145      11328    10998    1008      41     410    4      63    
146      11328    10995    1007      41     411    4      64    
147      11328    10993    1021      41     416    5      60    
148      11328    10989    1021      40     415    5      63    
149      11328    10991    1016      40     413    5      69    
150      11328    10995    1014      43     407    4      58    
151      11328    10992    1022      42     406    6      62    
152      11328    10993    1013      41     412    5      63    
153      11328    10998    1017      41     416    5      62    
154      11328    10989    1021      41     411    5      59    
155      11328    10997    1016      41     413    5      65    
156      11328    10990    1025      42     411    5      64    
157      11328    10997    1024      42     415    5      64    
158      11328    10994    1023      42     415    5      66    
159      11328    10996    1017      43     410    4      63    
160      11328    10997    1013      44     411    4      52    
161      11328    10992    1018      43     409    5      60    
162      11328    10989    1022      41     413    4      65    
163      11328    10992    1026      42     416    3      59    
164      11328    10989    1020      44     412    3      57    
165      11328    10986    1017      42     414    2      59    
166      11328    10994    1011      45     408    2      55    
167      11328    10986    1014      45     410    2      61    
168      11328    10983    1016      44     412    2      58    
169      11328    10988    1011      43     408    3      54    
170      11328    10987    1013      43     413    2      60    
171      11328    10992    1015      45     410    2      52    
172      11328    10989    1016      45     414    2      60    
173      11328    10989    1014      44     413    2      52    
174      11328    10993    1010      45     403    3      50    
175      11328    10989    1015      44     419    3      62    
176      11328    10987    1025      43     415    3      61    
177      11328    10984    1019      42     414    3      56    
178      11328    10983    1024      41     414    3      54    
179      11328    10983    1015      41     417    3      56    
180      11328    10982    1022      40     421    3      66    
181      11328    10983    1016      41     412    5      51    
182      11328    10979    1022      42     412    5      50    
183      11328    10981    1023      41     417    5      62    
184      11328    10980    1023      41     412    4      60    
185      11328    10972    1036      40     416    4      62    
186      11328    10968    1036      41     421    4      59    
187      11328    10978    1030      41     418    4      64    
188      11328    10971    1027      42     417    3      60    
189      11328    10969    1031      41     413    4      60    
190      11328    10967    1034      41     411    5      56    
191      11328    10966    1036      42     410    5      63    
192      11328    10971    1035      43     414    5      62    
193      11328    10963    1031      41     415    5      63    
194      11328    10968    1022      41     419    5      62    
195      11328    10966    1034      42     408    5      61    
196      11328    10964    1042      41     414    5      60    
197      11328    10958    1042      39     411    5      66    
198      11328    10958    1040      39     412    5      61    
199      11328    10958    1036      39     408    5      51    
200      11328    10958    1032      40     407    5      57    
201      11328    10961    1035      40     413    5      62    
202      11328    10963    1037      40     413    5      57    
203      11328    10961    1039      42     413    5      58    
204      11328    10963    1038      43     410    5      54    
205      11328    10964    1031      44     413    5      50    
206      11328    10965    1040      44     415    5      63    
207      11328    10963    1033      44     415    5      57    
208      11328    10958    1046      44     413    5      61    
209      11328    10961    1042      44     414    5      59    
210      11328    10959    1044      44     413    5      62    
211      11328    10958    1037      42     407    5      58    
212      11328    10961    1045      43     411    5      59    
213      11328    10958    1037      42     416    5      62    
214      11328    10961    1034      42     410    5      52    
215      11328    10958    1040      41     409    5      54    
216      11328    10958    1039      43     405    5      58    
217      11328    10955    1035      43     412    5      53    
218      11328    10961    1037      44     413    5      57    
219      11328    10957    1041      44     406    5      58    
220      11328    10959    1035      43     418    5      60    
221      11328    10958    1035      45     413    5      55    
222      11328    10957    1032      45     411    5      59    
223      11328    10955    1034      46     408    6      56    
224      11328    10956    1034      46     417    5      63    
225      11328    10957    1034      45     413    5      58    
226      11328    10956    1032      45     411    5      54    
