hash,formula,smiles,total_connections,precursors,derivatives
2755846643,H2O,[H]O[H],10,7,3
3160562715,C7H9,[H]C([H])C1=C([H])C([H])([H])C([H])=C([H])C1([H])[H],3,2,1
1814455329,HOFe,[H][O][Fe],3,1,2
1235566610,C3H6,[H]C([H])=C([H])C([H])([H])[H],2,1,1
2842362572,C8H10O2,[H]OC(=O)C1([H])C([H])C([H])([H])C([H])C(=C([H])[H])C1([H])[H],2,0,2
4003333975,C7H8,[H]C([H])=C1C([H])=C([H])C([H])=C([H])C1([H])[H],2,1,1
2547091817,C3H5,[H]C([H])C([H])=C([H])[H],2,0,2
2085615971,H2O2Fe,[H][O][Fe][O][H],2,0,2
3764204667,H,[H],2,0,2
2463241202,CO2,O=C=O,2,1,1
497902870,C15H14O2,[H]C1=C([H])C(=O)C([H])=C([H])C1C(C1=C([H])C([H])=C(O)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H],2,0,2
2888608756,CH3,[H]C([H])[H],2,1,1
666753413,H4O4Fe,[H][O][Fe]([O][H])([O][H])[O][H],2,1,1
2077311551,C14H11O2,[H]C1C([H])=C(C(C2=C([H])C([H])=C(O)C([H])=C2[H])C([H])([H])[H])C([H])C([H])=C1O,2,2,0
4877144,C3H7,[H]C([H])C([H])([H])C([H])([H])[H],2,1,1
1701856242,H3O3Fe,[H][O][Fe]([O][H])[O][H],2,2,0
3996691446,C3H4,[H]C([H])=C=C([H])[H],2,1,1
