rank,frequency,first_frame,last_frame,n_reactants,n_products,reactants,products
1,298,8,399,2,2,"H+H2O","H2O+H"
2,206,4,400,2,2,"H2O+H","H+H2O"
3,99,10,396,1,2,"CO2Fe","CO2+Fe"
4,81,13,395,2,1,"CO2+Fe","CO2Fe"
5,34,4,395,1,2,"CH4O6Fe","H4O4Fe+CO2"
6,31,9,318,2,1,"H4O4Fe+CO2","CH4O6Fe"
7,25,8,326,2,1,"Fe+CO2","CO2Fe"
8,19,15,355,2,1,"CO2+H4O4Fe","CH4O6Fe"
9,17,28,372,1,2,"CH4O6Fe","CO2+H4O4Fe"
10,17,25,390,2,2,"H4O4Fe+H2O","H2O+H4O4Fe"
11,17,24,400,2,1,"H2O2Fe+CO2","CH2O4Fe"
12,15,17,295,1,2,"CH2O4Fe","H2O2Fe+CO2"
13,12,51,394,1,2,"CH2O4Fe","CO2+H2O2Fe"
14,10,10,304,1,2,"CO2Fe","Fe+CO2"
15,9,34,358,3,3,"H+H2O+H2O","H2O+H2O+H"
16,8,7,192,2,1,"CO2+H2O2Fe","CH2O4Fe"
17,8,205,382,2,2,"H2O+H4O4Fe","H4O4Fe+H2O"
18,7,40,388,2,2,"HOFe+H2O","H2O+HOFe"
19,7,23,386,1,2,"C14H11O2Fe","C14H11O2+Fe"
20,6,69,154,1,2,"C14H11OFe","C14H11O+Fe"
21,6,28,385,2,1,"C14H11O2+Fe","C14H11O2Fe"
22,5,36,178,2,1,"C14H10O2+H","C14H11O2"
23,5,101,297,1,2,"C14H13OFe","C14H13O+Fe"
24,5,118,392,2,2,"H2O2Fe+H2O","H2O+H2O2Fe"
25,5,55,288,2,1,"C14H11O2+H","C14H12O2"
26,5,7,338,3,2,"C14H11O2+H2O+H","C14H12O2+H2O"
27,5,64,249,1,2,"C17H13O2Fe","C17H13O2+Fe"
28,5,68,153,2,1,"C14H11O+Fe","C14H11OFe"
29,5,61,247,2,1,"C17H13O2+Fe","C17H13O2Fe"
30,4,119,231,2,1,"C30H19O3+H4O4Fe","C30H23O7Fe"
31,4,107,345,2,2,"H2O+H2O2Fe","H2O2Fe+H2O"
32,4,33,240,2,2,"C14H11O2+C15H13O","C14H10O2+C15H14O"
33,4,44,92,1,2,"C14H14O6Fe","H4O4Fe+C14H10O2"
34,4,31,159,2,1,"C14H12O2+H4O4Fe","C14H16O6Fe"
35,4,281,387,1,2,"C28H20O3Fe","C28H20O3+Fe"
36,4,280,386,2,1,"C28H20O3+Fe","C28H20O3Fe"
37,4,345,351,2,2,"C15H11O2+C30H20O3","C15H12O2+C30H19O3"
38,4,19,381,2,2,"CH3+CH4","CH4+CH3"
39,4,81,222,3,2,"C14H10O2+H2O+H","C14H11O2+H2O"
40,4,151,393,2,1,"C3H5+H","C3H6"
41,4,344,350,2,2,"C15H12O2+C30H19O3","C15H11O2+C30H20O3"
42,4,28,285,2,2,"C14H11O2+C14H11O2","C14H10O2+C14H12O2"
43,4,4,125,2,2,"CH3+C7H9","CH4+C7H8"
44,4,9,152,2,2,"C3H6+CH3","C3H5+CH4"
45,4,3,71,2,1,"C3H5+CH3","C4H8"
46,4,170,296,2,1,"C14H13O+Fe","C14H13OFe"
47,4,64,239,1,2,"C14H11O2","C14H10O2+H"
48,4,6,17,2,2,"C7H10+CH3","C7H9+CH4"
49,4,131,171,2,2,"C14H12O2+C14H10O2","C14H11O2+C14H11O2"
50,4,3,22,1,2,"C15H14O2","C14H11O2+CH3"
51,4,29,38,1,2,"C12H7O3Fe","C12H7O3+Fe"
52,4,28,37,2,1,"C12H7O3+Fe","C12H7O3Fe"
53,4,53,195,2,1,"C15H11O2+H4O4Fe","C15H15O6Fe"
54,4,148,202,2,1,"C18H9O3+H4O4Fe","C18H13O7Fe"
55,4,70,241,2,2,"C14H10O2+C15H14O","C14H11O2+C15H13O"
56,4,233,297,1,2,"C22H15O3Fe","C22H15O3+Fe"
57,4,51,334,1,2,"C14H12O2","C14H11O2+H"
58,4,2,9,1,2,"C8H10O2","CO2+C7H10"
