Frame,ring size 5,ring size 6,ring size 7,ring size 8
1,10,449,2,114
2,8,451,2,107
3,11,443,2,101
4,13,440,2,99
5,13,441,2,102
6,15,438,3,101
7,13,433,3,99
8,13,435,4,100
9,13,434,4,101
10,14,433,3,99
11,15,435,3,94
12,15,435,3,96
13,17,429,3,96
14,18,429,3,91
15,19,427,4,90
16,19,427,3,90
17,22,429,3,89
18,22,430,3,92
19,23,427,4,91
20,23,432,4,91
21,22,429,4,92
22,23,425,4,89
23,23,425,4,87
24,23,424,3,92
25,23,426,3,86
26,25,427,4,89
27,25,425,4,79
28,25,427,3,81
29,27,423,3,85
30,27,427,1,80
31,28,426,2,82
32,29,429,2,86
33,30,426,2,79
34,32,426,2,80
35,32,430,2,83
36,31,427,1,82
37,31,426,1,79
38,29,426,1,82
39,29,426,1,73
40,29,427,1,73
41,30,428,1,81
42,31,421,1,77
43,32,420,1,75
44,32,427,1,72
45,31,421,1,73
46,32,420,1,79
47,32,421,1,76
48,32,418,1,82
49,31,423,1,79
50,31,426,1,80
51,31,424,1,78
52,33,423,1,74
53,34,423,1,81
54,34,424,2,83
55,35,417,4,76
56,38,422,3,77
57,37,419,3,73
58,37,414,3,71
59,36,422,3,71
60,36,422,4,75
61,37,421,4,71
62,38,419,3,76
63,37,414,5,72
64,36,413,5,74
65,35,419,5,76
66,35,413,3,77
67,35,416,3,74
68,36,416,3,78
69,36,416,3,75
70,36,407,3,76
71,36,419,3,74
72,36,414,3,71
73,36,415,3,66
74,34,414,3,67
75,35,413,3,67
76,36,413,3,70
77,34,414,2,71
78,37,410,2,69
79,37,409,2,70
80,35,410,2,62
81,38,412,3,72
82,38,412,3,65
83,37,407,3,69
84,37,404,3,64
85,38,414,3,65
86,41,408,3,65
87,42,411,3,69
88,42,410,3,70
89,42,407,3,69
90,42,407,3,66
91,42,407,3,70
92,42,410,3,71
93,42,409,3,70
94,42,410,3,69
95,42,408,3,70
96,43,411,3,71
97,43,407,3,69
98,44,413,3,69
99,39,405,3,59
100,40,404,3,62
101,40,408,3,66
102,40,409,3,65
103,41,405,3,66
104,41,412,3,70
105,43,413,3,68
106,43,411,4,66
107,44,407,3,59
108,43,407,3,66
109,41,411,3,62
110,42,406,3,62
111,43,408,3,55
112,42,410,3,56
113,43,412,3,58
114,45,407,3,70
115,45,411,3,63
116,45,408,3,58
117,45,404,3,57
118,44,415,3,64
119,44,418,3,64
120,44,412,3,66
121,43,409,3,65
122,41,409,3,56
123,40,414,3,66
124,40,412,3,61
125,42,409,3,58
126,43,403,3,57
127,44,414,3,60
128,45,414,3,65
129,44,415,4,64
130,42,415,4,65
131,42,420,4,62
132,42,410,4,68
133,40,409,4,61
134,39,415,4,66
135,40,413,5,61
136,42,412,4,56
137,44,413,4,58
138,45,416,5,66
139,41,412,4,65
140,40,404,4,61
141,42,406,4,66
142,42,413,4,62
143,42,410,4,63
144,41,414,4,63
145,41,410,4,63
146,41,411,4,64
147,41,416,5,60
148,40,415,5,63
149,40,413,5,69
150,43,407,4,58
151,42,406,6,62
152,41,412,5,63
153,41,416,5,62
154,41,411,5,59
155,41,413,5,65
156,42,411,5,64
157,42,415,5,64
158,42,415,5,66
159,43,410,4,63
160,44,411,4,52
161,43,409,5,60
162,41,413,4,65
163,42,416,3,59
164,44,412,3,57
165,42,414,2,59
166,45,408,2,55
167,45,410,2,61
168,44,412,2,58
169,43,408,3,54
170,43,413,2,60
171,45,410,2,52
172,45,414,2,60
173,44,413,2,52
174,45,403,3,50
175,44,419,3,62
176,43,415,3,61
177,42,414,3,56
178,41,414,3,54
179,41,417,3,56
180,40,421,3,66
181,41,412,5,51
182,42,412,5,50
183,41,417,5,62
184,41,412,4,60
185,40,416,4,62
186,41,421,4,59
187,41,418,4,64
188,42,417,3,60
189,41,413,4,60
190,41,411,5,56
191,42,410,5,63
192,43,414,5,62
193,41,415,5,63
194,41,419,5,62
195,42,408,5,61
196,41,414,5,60
197,39,411,5,66
198,39,412,5,61
199,39,408,5,51
200,40,407,5,57
201,40,413,5,62
202,40,413,5,57
203,42,413,5,58
204,43,410,5,54
205,44,413,5,50
206,44,415,5,63
207,44,415,5,57
