C(0),C(1),C(2),C(3),C(4),H(0),H(1),O(0),O(1),O(2)
0,0,2,37,161,4,596,0,615,85
0,0,0,50,150,9,591,0,613,87
0,0,1,42,157,1,599,0,613,87
0,0,3,44,153,6,594,0,620,80
0,0,1,65,134,8,592,0,617,83
0,0,3,62,135,7,593,0,613,87
0,0,0,63,137,6,594,0,621,79
0,0,3,66,131,6,594,0,616,84
0,0,3,72,125,5,595,0,619,81
0,0,3,66,131,6,594,0,618,82
0,0,2,69,129,5,595,1,618,81
0,1,4,72,123,4,596,0,615,85
0,0,3,85,112,1,599,0,618,82
0,0,2,73,125,2,598,0,621,79
0,0,9,78,113,8,592,0,616,84
0,0,7,73,120,6,594,1,621,78
0,1,4,93,102,10,590,0,616,84
0,0,5,88,107,7,593,0,615,85
0,0,5,99,96,7,593,0,614,86
0,0,5,98,97,1,599,0,617,83
0,0,8,109,83,1,599,0,618,82
0,1,7,99,93,8,592,4,616,80
0,0,9,108,83,4,596,1,616,83
0,1,8,103,88,5,595,0,613,87
0,1,8,106,85,7,593,1,610,89
0,2,11,112,75,6,594,0,616,84
0,1,12,124,63,8,592,0,613,87
0,1,9,116,74,6,594,1,609,90
0,1,11,125,63,9,591,0,615,85
0,1,14,119,66,5,595,1,613,86
0,2,19,124,55,2,598,0,614,86
0,2,13,130,55,5,595,0,613,87
0,3,16,124,57,7,593,0,612,88
0,2,17,126,55,5,595,1,613,86
0,3,20,121,56,7,593,1,611,88
0,2,21,125,52,6,594,2,607,91
0,2,19,133,46,6,594,1,609,90
0,2,23,125,50,3,597,2,606,92
0,2,23,124,51,6,594,1,606,93
0,3,24,126,47,4,596,1,605,94
0,4,26,125,45,8,592,1,607,92
0,4,23,133,40,8,592,1,605,94
0,3,26,130,41,6,594,1,601,98
0,2,28,134,36,7,593,2,603,95
0,2,26,134,38,6,594,2,598,100
0,2,34,128,36,9,591,2,599,99
0,3,30,133,34,4,596,2,600,98
0,2,31,130,37,4,596,3,600,97
0,3,31,124,42,4,596,2,599,99
0,3,33,129,35,6,594,2,598,100
0,5,35,129,31,6,594,3,602,95
0,6,31,134,29,6,594,3,602,95
0,5,31,133,31,6,594,4,602,94
0,5,34,132,29,7,593,3,602,95
0,7,30,133,30,6,594,3,602,95
0,5,32,139,24,6,594,3,600,97
0,6,37,135,22,9,591,3,600,97
0,6,35,132,27,5,595,3,597,100
0,5,40,129,26,12,588,5,596,99
0,5,39,131,25,7,593,3,599,98
0,8,36,130,26,7,593,3,595,102
0,8,37,132,23,8,592,5,598,97
0,8,40,128,24,7,593,3,597,100
0,7,40,129,24,5,595,3,597,100
0,7,40,132,21,3,597,3,596,101
0,8,39,140,13,9,591,3,595,102
0,8,41,134,17,7,593,4,595,101
0,7,38,133,22,5,595,3,595,102
0,8,37,137,18,4,596,3,597,100
