C-C,H-C,H-H,O-C,O-H,O-O
88,497,0,86,99,300
86,491,0,87,100,300
85,499,0,87,100,300
88,494,0,80,100,300
79,492,0,83,100,300
77,492,0,86,101,300
84,491,0,78,103,299
79,488,0,82,106,298
79,487,0,77,108,298
83,485,0,77,109,298
83,485,0,76,110,297
77,484,0,79,112,297
73,487,0,76,112,297
84,483,0,72,115,296
73,479,0,79,113,296
80,480,0,73,114,295
76,470,0,74,120,295
78,472,0,74,121,295
75,469,0,72,124,295
74,474,0,70,125,294
70,470,0,65,129,294
79,462,0,64,130,291
72,463,0,67,133,291
77,458,0,66,137,292
77,452,0,69,141,289
73,451,0,63,143,289
68,448,0,65,144,289
75,445,0,68,149,286
74,440,0,62,151,286
73,440,1,64,153,284
65,441,1,61,155,285
69,438,1,62,155,285
69,435,1,62,156,285
70,434,1,60,159,283
69,431,1,61,160,283
69,428,1,61,164,282
68,427,1,60,165,282
68,429,1,58,166,283
70,424,1,60,168,282
68,423,1,58,171,282
69,417,1,56,173,281
68,416,1,57,174,281
67,416,1,59,176,281
67,414,1,56,177,280
68,412,2,60,178,280
67,406,2,58,181,279
64,411,2,59,181,278
66,411,2,59,181,277
68,410,2,59,182,278
65,406,2,60,184,277
63,403,2,57,187,274
62,403,2,59,187,273
63,404,2,60,186,272
62,401,2,60,188,272
63,399,2,61,191,270
62,397,2,61,193,270
61,391,2,60,196,269
63,393,2,61,198,269
64,386,2,62,198,267
63,389,2,61,200,267
63,386,2,62,203,267
63,384,2,60,204,264
63,383,2,59,206,266
64,383,3,59,206,266
62,384,3,59,207,266
61,377,3,59,208,266
62,377,3,59,210,264
65,380,3,60,209,265
63,381,3,58,209,265
64,377,3,59,210,265
64,375,3,59,212,264
65,370,2,59,217,260
65,367,2,59,217,261
64,371,3,59,217,259
64,367,3,60,219,261
63,367,3,60,221,261
63,368,3,60,222,261
63,365,3,59,223,261
62,365,3,60,223,261
61,365,3,60,223,259
61,363,3,61,225,260
62,365,3,62,225,259
62,362,3,62,227,258
62,364,3,62,226,258
62,362,3,63,227,257
61,363,3,65,227,256
62,361,3,64,227,256
61,357,3,65,228,255
61,358,3,66,229,253
61,357,3,66,231,254
62,355,3,66,232,254
61,356,4,66,232,253
61,356,3,67,234,251
61,353,3,68,236,251
60,350,3,69,237,252
61,352,3,69,237,250
61,350,3,69,237,250
60,348,3,69,240,250
60,352,3,69,241,249
58,349,3,68,241,249
58,346,3,68,241,249
58,345,3,69,240,249
58,348,3,69,241,248
58,349,3,70,243,249
59,344,3,70,243,249
59,344,3,69,244,249
57,345,3,68,244,246
58,347,2,70,246,248
59,342,2,70,247,247
58,345,2,71,247,249
59,341,2,71,249,246
59,340,2,71,250,245
59,338,2,71,251,246
59,337,2,70,252,245
59,339,2,70,253,246
59,335,2,70,254,244
59,334,2,71,256,244
59,334,2,71,256,245
58,333,2,71,257,245
59,334,2,71,257,245
59,333,2,71,258,245
58,332,2,71,258,245
60,327,2,71,261,245
60,330,2,71,261,243
60,326,2,72,261,243
59,325,2,74,263,243
59,324,2,74,264,242
59,327,2,75,264,242
58,322,2,74,265,242
58,321,2,74,266,243
58,322,2,73,265,242
59,324,2,77,266,242
59,323,2,76,266,242
59,323,2,76,268,241
58,321,2,76,268,241
58,318,2,76,269,241
59,318,2,77,271,238
58,318,2,77,273,239
58,319,2,77,274,238
59,313,3,77,275,238
57,310,3,75,275,238
59,313,3,76,275,239
59,315,3,79,276,239
59,309,3,80,278,238
59,308,3,80,281,237
59,301,4,78,281,237
59,306,4,80,282,235
57,301,4,81,283,235
58,305,4,81,284,233
57,305,4,79,284,235
58,299,4,83,285,233
57,299,4,85,288,233
56,299,4,86,289,232
57,297,4,85,290,232
56,297,4,85,291,230
57,297,4,85,290,231
57,298,4,86,290,231
56,296,4,84,290,231
56,295,4,86,292,229
57,292,4,87,294,228
57,295,4,88,295,229
56,294,4,88,295,229
56,292,4,88,295,229
56,291,4,90,296,227
56,291,4,90,297,227
56,288,5,91,296,229
55,288,5,91,296,228
55,281,5,91,298,228
55,287,5,92,298,226
53,281,5,92,299,226
54,286,5,92,299,226
53,283,5,92,299,226
53,273,6,92,302,226
53,277,6,92,305,225
52,277,6,92,305,223
53,271,6,93,306,221
52,270,6,93,307,222
53,274,6,93,307,223
53,274,6,93,309,222
53,272,6,93,309,222
53,274,6,94,309,221
53,272,6,94,310,222
53,271,6,96,310,221
53,270,6,96,312,220
52,269,7,96,315,219
52,268,7,97,316,222
53,262,7,97,317,220
53,262,8,97,317,220
53,265,8,99,317,216
53,265,8,100,317,215
52,262,8,100,319,213
52,260,8,99,320,215
52,259,8,99,320,215
52,258,8,99,320,216
52,260,8,101,320,215
51,260,8,102,321,214
52,249,9,102,322,215
51,256,9,102,324,215
52,254,9,102,324,214
52,252,9,102,325,214
52,251,9,102,325,213
52,250,9,102,326,212
52,251,9,102,325,211
52,255,9,102,326,211
52,253,9,102,327,212
52,254,9,102,326,210
52,250,9,102,326,209
51,252,9,103,326,209
51,250,9,104,326,209
52,250,9,104,329,207
52,247,9,106,330,206
52,244,9,107,330,207
52,243,8,106,332,205
51,246,8,105,332,206
49,248,8,106,334,206
51,243,8,104,334,206
51,242,9,107,335,206
50,243,9,108,335,205
51,243,9,108,336,205
51,241,9,107,336,205
51,241,9,108,336,206
50,241,9,108,337,205
51,239,9,107,338,205
51,237,9,107,341,200
50,237,9,108,341,201
50,229,10,109,341,200
50,232,10,109,343,201
49,228,10,109,347,200
50,230,10,109,347,200
