C,C2,C2H,C2H2,C2H2O,C2H2O2,C2H2O3,C2H3,C2H3O,C2H3O2,C2H3O3,C2H4,C2H4O,C2H4O2,C2H4O3,C2H5,C2H5O,C2H5O2,C2H6O,C2H6O2,C2HO,C2HO2,C2HO3,C2O,C2O2,C2O3,C3H2,C3H2O,C3H2O2,C3H2O3,C3H3,C3H3O,C3H4,C3H4O,C3H4O3,C3H5,C3H6,C3HO,C3HO2,C3HO3,C3O2,CH,CH2,CH2O,CH2O2,CH3,CH3O,CH3O2,CH4,CH4O,CH4O2,CHO,CHO2,CHO3,CO,CO2,CO3,H,H2,H2O,H2O2,H2O3,HO,HO2,HO3,O,O2,O3,O4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,12,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,300,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,9,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,13,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13,2,0,0,298,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0,0,299,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,11,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,20,1,0,0,299,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,6,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,17,1,0,0,299,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,8,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,23,19,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,14,3,0,0,296,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,21,9,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,23,3,0,0,295,0,0
0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,13,5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,21,17,0,0,0,0,1,0,0,0,0,0,6,0,3,0,0,19,5,0,0,293,0,0
0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,16,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,21,18,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,22,5,0,0,293,0,0
0,0,0,0,0,0,0,0,1,0,0,6,3,0,0,16,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,17,13,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,21,7,0,0,291,0,0
0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,17,7,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,14,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,22,7,0,1,290,0,0
0,0,0,0,0,0,0,1,1,0,0,6,2,0,0,12,4,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,23,17,0,0,0,0,1,0,0,0,0,0,4,0,8,0,0,19,7,0,0,290,0,0
